categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Imobiliárias,,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Lazer & Eventos,Aluguel de Trajes,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Lazer & Eventos,Buffet / Dia da Noiva,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Lazer & Eventos,Campos de Futebol / Arena / Quadras,TENONÉ - Arena Azevedo,Arena  esportiva,"Tenoné - Rua das Orquideas, 11 - entrada pela 6ª linha",Segunda a sábado das 18h às 23h,Presencial,5591986379770,5591986379770
Lazer & Eventos,Campos de Futebol / Arena / Quadras,TENONÉ - Clube Esportivo Tenoné,Aluguel de campo de futebol,"Tenoné - Alacid Nunes, 35 - frente ao residencial Nazereno","Terças, quartas, quintas e sábados das 8h às 20h",Presencial,5591986090108,5591986090108
Lazer & Eventos,Decoração de Eventos,TENONÉ - Bruna decorações,Decorações para eventos em geral,"Tenoné - Quinta linha, 14",Segunda a sábado 8h às 12 e 15h às 19h,Presencial,5591981979990,5591991550828
Lazer & Eventos,Espaço para Eventos,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Lazer & Eventos,Locação de Brinquedos,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Lazer & Eventos,Mini Decorações / Bolo fake / Pegue e Monte,MAGUARI - Dulluca minifestas,"Mini decorações, bolo fake e pinhatas","Conj. Maguari - Alameda 3, 78",Segunda a sábado das 8h às 18h,Retirada no local,5591982229235,5591982229235
Lazer & Eventos,Mini Decorações / Bolo fake / Pegue e Monte,MAGUARI - Vivi Festas,"Pegue e monte, balões personlizados, escultura de balões...",Conj. Maguari - Principal - entre 7 e 8,Segunda a sábado das 9h às 12h e das 15h30 às 18h30,A combinar,5591980558409,5591980558409
Moda & Acessórios,Calçados / Sandalharia / Bolsas e Malas,MAGUARI - Ana Modas e Calçados,"Sandalhas, Calçados, Presentes",Conj. Maguari - Principal - entre 17 e 18,Segunda a sábado da 9h às 12h e das 15h às 20h,Grátis,5591982894520,5591991970115
Moda & Acessórios,Calçados / Sandalharia / Bolsas e Malas,MAGUARI - Brício sapataria,"Calçados masculino/feminino/infantil, bolsas e acessórios",Conj. Maguari - Principal entre 9 e 10,Todos os dias das 8h às 13 e das 16h às 20h30,Grátis,5591982591874,5591982591874
Moda & Acessórios,Calçados / Sandalharia / Bolsas e Malas,TENONÉ - Merci Variedades,"Calçados, bolsas e variedades","Tenoné - 5ª linha, 38",Segunda a sábado das 8h às 20h,A combinar,5591999590654,5591999590654
Moda & Acessórios,Joias / Bijuterias,MAGUARI - JoiaNela,Semijóias e folheados,"Conj. Maguari - Principal, 50",Segunda a sexta das 9h às 12h e das 15h às 20h,A combinar,5591980162609,5591981950755
Moda & Acessórios,Loja de aviamentos / embalagens,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",MAGUARI - Cavalcante,Moda Masculina,Conj. Maguari - Principal entre 4 e 5,Segunda a sábado das 9h às 12 e  das 16h às 20h,A combinar,5591983604985,5591985817948
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",MAGUARI - Três irmãos variedades,"Cama mesa e banho, redes, cortinas e tapetes",Conj. Maguari - Principal esquina da 4,Segunda a sábado das 8h30 às 12h30 e das 15h30 às 19h30,Grátis,5591982095500,5591982095500
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",MAGUARI - Arte Militar,Uniformes em geral e bordados personalizados,"Conj. Maguari - Principal, 57 entre 2 e 3",Segunda a sábado das 9h-12h e das 15h às 19h,A combinar,5591988601909,5591980967442
